Project_name,SiteID,BASIN,LOCATION,RIVMILE,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",9/6/2018 12:00,TDS,T,3790,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,TURBIDITY,9/6/2018 12:00,TURB,T,1.23,ntu
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Zinc,9/6/2018 12:00,7440-66-6,D,36.3,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Zinc,9/6/2018 12:00,7440-66-6,T,37.5,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,Conductivity,10/2/2018 11:50,COND,T,1133,uS/cm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,Dissolved Oxygen,10/2/2018 11:50,7782-44-7,D,8.2,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,Percent Saturation,10/2/2018 11:50,PER_SAT,T,94,std unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,PH,10/2/2018 11:50,PH,T,6.97,pH units
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,Salinity,10/2/2018 11:50,SALI,T,0.56,ppm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,water temperature,10/2/2018 11:50,TEMP,T,21.1,deg c
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,"ALKALINITY, TOTAL (AS CaCO3)",10/2/2018 12:00,ALK,T,10.4,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,Aluminum,10/2/2018 12:00,7429-90-5,D,26.7,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,Calcium,10/2/2018 12:00,7440-70-2,T,70900,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,"Carbon, Dissolved Organic (DOC)",10/2/2018 12:00,DOC,D,3.9,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-10022018-WS,CHLORIDE (AS CL),10/2/2018 12:00,16887-00-6,T,224,mg/l
