"Project_name","SiteID","BASIN","LOCATION","RIVMILE","SAMPLE_DATE","cas_rn","chemical_name","fraction","result_value","result_unit","Health..Water.Source.","Health.Fish.Consumption.","Aquatic.Chronic.","Aquatic..Acute.","Wildlife","Aesthetic.Water.Source.","Aesthetic.Food.Source.","Recreation","HWS","HFS","AC","AA","W","EWS","EFS","R"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","COND","Conductivity","T",4988,"uS/cm","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7440-50-8","Copper","D",22.8,"ug/l","NS","NS","18.9231107387336","30.6623647623596","NS","NS","NS","NS","NS","NS","V","NV","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7440-50-8","Copper","T",24.6,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7782-44-7","Dissolved Oxygen","D",7600,"ug/l","NS","NS","4000","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","16984-48-8","Fluoride, undistilled","T",150,"ug/l","NS","NS","4688.72747833244","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","HARD","HARDNESS (AS CACO3)","T",240000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7439-89-6","Iron","T",129,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7439-95-4","Magnesium","T",19400,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7439-96-5","Manganese","T",108,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7440-02-0","Nickel","D",6.7,"ug/l","NS","NS","109.072851365538","982.026728559735","NS","NS","NS","NS","NS","NS","NV","NV","NS","NS","NS","NS"
